Sentence 1,Sentence 2
"Listen, losing weight is easier said than done, many people lack commitment.",Victor thought acting is an easy and useless job until he joined a theater class and performed for the first time. He realised it is an art form not everyone can master.
"Listen, losing weight is easier said than done, many people lack commitment.",To teach a class of even 10 students can be daunting for a first-timer. It needs a lot of dedication and preparation to explain ideas in simlest of forms.
"Listen, losing weight is easier said than done, many people lack commitment.",It requires a tremendous amount of focus and discipline to clear the entrance exam. Not everyone can pass it.
"I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.",I am afraid of walking on the streets at night but I think I will give it a try soon.
"I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.",Sam is scared of speaking to strangers but she wants to build up the courage and try it out.
"I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.","Frank has never tried to write a computer program before as he finds computers daunting. But last time we met, he said he will go for it."
"I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.","My sister cannot sleep in a dark room due to her fears, but she wants to challenge herself someday."
"I am absolutely terrified of skydiving, but I think once in my life, I will give it a whirl.","Sally has never been to the gym as she is afraid of lifting weights, but lately she's been showing interest and said she will start soon."
"When Chris turned forty, he decided to live his life in the fast lane and quit his job for his hobbies.","After years of working as a lawyer, Smith decided to quit and open a youtube channel for his singing videos."
"When Chris turned forty, he decided to live his life in the fast lane and quit his job for his hobbies.","Once she got bored and tired with the same old job, she decided to leave and opened a restaurant."
"When Chris turned forty, he decided to live his life in the fast lane and quit his job for his hobbies.",She worked for weeks on the project and got so exhausted that she decided to go on a vacation for a month.
"When Chris turned forty, he decided to live his life in the fast lane and quit his job for his hobbies.","Post graduation, Emily decided to not go for any jobs but instead chose to travel and paint for enjoyment."
"When Chris turned forty, he decided to live his life in the fast lane and quit his job for his hobbies.","When he finally started earning after years of struggle, Alex spent all his money on parties and drinking as he wanted to enjoy his life now."
The baby looks as snug as a bug in a rug next to her mother.,Sally always gets so happy and comfortable whenever Sharon is around.
The baby looks as snug as a bug in a rug next to her mother.,Jimmy felt comforted and reassured after speaking with the professor about what courses to take next semester.
The baby looks as snug as a bug in a rug next to her mother.,Frank finally had a good sleep in his childhood bed when he returned to the familiarity of his home country after years of working in different lands. 
The baby looks as snug as a bug in a rug next to her mother.,Linda's demeanor changes whenever her husband is around. It is like he is the one who brings the best side of hers out. She is herself with him.
The baby looks as snug as a bug in a rug next to her mother.,Sally owns a pet dog; the dog is more comfortable with Sally's father than anyone else.
"He always argues on the silliest topics, it’s like he can’t see wood for the trees.",The congressman became so involved in the wording of his bill that he did not realize that the bill could never pass.
"He always argues on the silliest topics, it’s like he can’t see wood for the trees.",The way he's obsessing over one doorknob when we're renovating the entire house makes me think that he can't see the larger picture.
"He always argues on the silliest topics, it’s like he can’t see wood for the trees.","The way the book is written, I get distracted by the peculiar grammar and word choice and can't learn anything from it."
"He always argues on the silliest topics, it’s like he can’t see wood for the trees.",He is so engrosed in his work that he is missing out on his personal life and his family. 
"He always argues on the silliest topics, it’s like he can’t see wood for the trees.","Often times, in the interest of reaching the destination, we forget to experience the journey."
"Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes.","Lets meet him and ask about the robbery. Since he is the one who was robbed, it would be much more thrilling to hear."
"Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes.",I want to attend the lecture as it will be delivered straight from the pioneer of the subject.
"Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes.",Let Mike share the incident with you as he is the one who went through it and will be able to give enough details.
"Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes.",He was called on national television to talk about his crimes for everyone to listen directly from the serial killer.
"Listen to the news straight from the horse’s mouth, his factory burned down right in front of his eyes.",Let Sam share the story of the movie herself as she was the one who went to watch it.
This shopkeeper always palms off old stock to the customers.,She tried to handover the hardest part of the assignment on me as some kind of special challenge so that she doesn't have to do it.
This shopkeeper always palms off old stock to the customers.,There are always guys trying to fraudulently sell cheap watches as Rolexes in this part of town.
This shopkeeper always palms off old stock to the customers.,Victor from school is always trying to sell old coins to me saying they are rare and valuable.
This shopkeeper always palms off old stock to the customers.,"The filmmaker is continuously assuring new producers that if they pay him generously then he would make the best-selling movie, without the intention of ever creating one."
This shopkeeper always palms off old stock to the customers.,The salesman always tries to sell a zircon as a diamond to naive customers.
"Please don’t bother me today with any calls, I have bigger fish to fry.","Whenever Tom had an important event to plan for, he would not meet any of us and worked with full focus."
"Please don’t bother me today with any calls, I have bigger fish to fry.","Ramos decided to finish writing the novel over the weekend, so he went to the cabin where no one could disturb him."
"Please don’t bother me today with any calls, I have bigger fish to fry.","The doctor had an important surgery the next day, so he asked not to be disturbed by the staff."
"Please don’t bother me today with any calls, I have bigger fish to fry.",Philip needed an entire day of focus to finish the project that he switched off all of his devices.
"Please don’t bother me today with any calls, I have bigger fish to fry.","My mother had an important conference to prepare for, so she refused to entertain our day to day rants and fights."
"You can’t just sell all of your shares when the market is low, look before you leap, Trump is coming tomorrow, it is possible the shares will grow.",It is better to gauge others before taking such political stands these days. You never know who is on your side and who will cause you harm for it.
"You can’t just sell all of your shares when the market is low, look before you leap, Trump is coming tomorrow, it is possible the shares will grow.","People in the village say that the house is haunted by the ghost of the lady that lived here many years back. So, my father should wait before buying it and take more opinions from different people."
"You can’t just sell all of your shares when the market is low, look before you leap, Trump is coming tomorrow, it is possible the shares will grow.",Garry started investing his money and time in creating a small garden for himself during off season. He should have been more aware and planned it during the spring and summer season when it's easier to see results.
"You can’t just sell all of your shares when the market is low, look before you leap, Trump is coming tomorrow, it is possible the shares will grow.",No need to take so much work this quarter when performance wouldn't affect appraisals. Work more in the next 2 quarters when the management will actively focus on it.
"You can’t just sell all of your shares when the market is low, look before you leap, Trump is coming tomorrow, it is possible the shares will grow.",Samantha should not spend all her savings on the flight tickets during the holidays. She should wait and check after a few months when the prices are low. 
"Andy played hooky from work for a week saying he was sick, now he is on very thin ice according to his boss.",The manager saw that Silvy was passing on her clients for hair appointments to other professionals but was showing up for tips; she decided to fire her the next time.
"Andy played hooky from work for a week saying he was sick, now he is on very thin ice according to his boss.","Soon after, Garry realized that Hannah was avoiding making the presentation by pretending to be occupied by personal issues, he planned to approach her about it if she repeated it again."
"Andy played hooky from work for a week saying he was sick, now he is on very thin ice according to his boss.",Philip avoided the chores by pretending to be busy until his mother realised he had no work and made him do the chores all week.
"Andy played hooky from work for a week saying he was sick, now he is on very thin ice according to his boss.","The group had lied about one of them being out of town to avoid the meeting, but the professor could tell otherwise and noted to cut their marks on the project."
"Andy played hooky from work for a week saying he was sick, now he is on very thin ice according to his boss.",The teacher decided to punish Amy because she gave the excuse of her dog eating her homework for not submitting it on time.
"He told his wife that he doesn’t want to rain on her parade, but they had to shift their vacation dates.",I hate to inform you that your A in chemistry was actually a clerical error.
"He told his wife that he doesn’t want to rain on her parade, but they had to shift their vacation dates.",I'm sorry to disappoint you but you're not allowed to have alcohol on the premises.
"He told his wife that he doesn’t want to rain on her parade, but they had to shift their vacation dates.","I am sorry, but you would have to present your work before you can go for the vacation."
"He told his wife that he doesn’t want to rain on her parade, but they had to shift their vacation dates.",The company was apologetic for not being able to pay the holiday bonus to employees.
"He told his wife that he doesn’t want to rain on her parade, but they had to shift their vacation dates.",I do not want to spoil your mood but I have to babysit my nephew today.
She's a representative of California for crying out loud! How have you not heard of her?,Don't you know he is the president of the United States?!
She's a representative of California for crying out loud! How have you not heard of her?,I cannot believe you don't know who Cristiano Ronaldo is! He is one of the greatest football player alive.
She's a representative of California for crying out loud! How have you not heard of her?,Show some respect to your professor! He is a legend in his field.
She's a representative of California for crying out loud! How have you not heard of her?,He is the winner of three Grammy awards for god's sake! People consider him to be the god of rap. 
She's a representative of California for crying out loud! How have you not heard of her?,"For Christ's sake, how could you forget about our honeymoon?"
"She knows he's lying to her, but she's choosing to turn a blind eye to the situation.","Garry knows he is underpaid, but he chooses not to focus on it as he is more than happy to have a job."
"She knows he's lying to her, but she's choosing to turn a blind eye to the situation.","Sally is not clueless about her situation with Scott, she has just decided to be with him despite the circumstances."
"She knows he's lying to her, but she's choosing to turn a blind eye to the situation.","He knows Rick is not a good friend and is only after money but does not have a problem with it."
"She knows he's lying to her, but she's choosing to turn a blind eye to the situation.","The professor knows the students mostly copied the homework, but is choosing not to be strict about it."
"She knows he's lying to her, but she's choosing to turn a blind eye to the situation.","Geremy is aware that Lizy is not doing well, but he is avoiding her."
"Now that we're friends, we can let bygones be bygones","Since both of our favourite teams have lost, lets enjoy the world cup together and not fight."
"Now that we're friends, we can let bygones be bygones",Lets forget what happened and work on the project together.
"Now that we're friends, we can let bygones be bygones",The brother and sister decided to stop the fight and decided to be cordial again.
"Now that we're friends, we can let bygones be bygones",The war was finally over and the countries decided to maintain cordial relations with eachother.
"Now that we're friends, we can let bygones be bygones",The parents realised their love for each other and did not go through the divorce. They have been living happily ever since. 
