Index,Sentence,Options,CorrectIndex,Label
6207,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"28,104,10,88",28,A
6208,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"104,160,30,339",30,C
6209,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"149,156,31,5",31,C
6210,After working two years for the company she was burned out.,"166,74,21,119",21,C
6211,After working two years for the company she was burned out.,"17,140,18,326",18,C
6212,After working two years for the company she was burned out.,"229,283,19,329",19,C
6213,After working two years for the company she was burned out.,"115,58,20,156",20,C
6214,After working two years for the company she was burned out.,"22,109,308,99",22,A
6215,After working two years for the company she was burned out.,"265,142,176,23",23,D
6216,After working two years for the company she was burned out.,"24,173,314,296",24,A
6217,After working two years for the company she was burned out.,"161,184,25,46",25,C
6218,After working two years for the company she was burned out.,"179,7,26,92",26,C
6219,After working two years for the company she was burned out.,"273,27,85,320",27,B
6220,After working two years for the company she was burned out.,"28,216,163,135",28,A
6221,After working two years for the company she was burned out.,"40,29,271,256",29,B
6222,After working two years for the company she was burned out.,"177,31,250,83",31,B
6223,He collapsed after he ran for the marathon.,"334,302,21,75",21,C
6224,He collapsed after he ran for the marathon.,"256,18,231,129",18,B
6225,He collapsed after he ran for the marathon.,"19,127,256,283",19,A
6226,He collapsed after he ran for the marathon.,"254,238,20,273",20,C
6227,He collapsed after he ran for the marathon.,"22,43,101,174",22,A
6228,He collapsed after he ran for the marathon.,"274,275,328,23",23,D
6229,He collapsed after he ran for the marathon.,"243,54,24,261",24,C
6230,He collapsed after he ran for the marathon.,"91,108,25,337",25,C
6231,He collapsed after he ran for the marathon.,"16,115,254,26",26,D
6232,He collapsed after he ran for the marathon.,"299,111,27,6",27,C
6233,He collapsed after he ran for the marathon.,"45,160,140,28",28,D
6234,He collapsed after he ran for the marathon.,"29,66,272,275",29,A
6235,He collapsed after he ran for the marathon.,"50,30,201,218",30,B
6236,"As the flame extinguished, it left behind a thin wisp of smoke.","18,215,87,261",18,A
6237,"As the flame extinguished, it left behind a thin wisp of smoke.","166,109,19,16",19,C
6238,"As the flame extinguished, it left behind a thin wisp of smoke.","20,256,129,170",20,A
6239,"As the flame extinguished, it left behind a thin wisp of smoke.","252,187,21,194",21,C
6240,"As the flame extinguished, it left behind a thin wisp of smoke.","213,117,23,48",23,C
6241,"As the flame extinguished, it left behind a thin wisp of smoke.","68,326,189,24",24,D
6242,"As the flame extinguished, it left behind a thin wisp of smoke.","265,256,277,25",25,D
6243,"As the flame extinguished, it left behind a thin wisp of smoke.","26,55,289,37",26,A
6244,"As the flame extinguished, it left behind a thin wisp of smoke.","237,27,94,76",27,B
6245,"As the flame extinguished, it left behind a thin wisp of smoke.","89,2,75,28",28,D
6246,"As the flame extinguished, it left behind a thin wisp of smoke.","159,259,29,217",29,C
6247,"As the flame extinguished, it left behind a thin wisp of smoke.","330,217,292,30",30,D
6248,"As the flame extinguished, it left behind a thin wisp of smoke.","275,31,284,192",31,B
6249,After letting off his rage he sat down like a lamb.,"34,280,22,175",22,C
6250,After letting off his rage he sat down like a lamb.,"140,19,117,58",19,B
6251,After letting off his rage he sat down like a lamb.,"213,20,190,71",20,B
6252,After letting off his rage he sat down like a lamb.,"121,193,21,268",21,C
6253,After letting off his rage he sat down like a lamb.,"123,66,71,23",23,D
6254,After letting off his rage he sat down like a lamb.,"41,273,203,24",24,D
6255,After letting off his rage he sat down like a lamb.,"199,25,4,41",25,B
6256,After letting off his rage he sat down like a lamb.,"137,284,14,26",26,D
6257,After letting off his rage he sat down like a lamb.,"27,165,128,213",27,A
6258,After letting off his rage he sat down like a lamb.,"84,120,28,131",28,C
6259,After letting off his rage he sat down like a lamb.,"50,105,29,117",29,C
6260,After letting off his rage he sat down like a lamb.,"30,112,125,146",30,A
6261,After letting off his rage he sat down like a lamb.,"31,74,257,274",31,A
6262,The weather finally became pleasant following the stormy week.,"305,22,42,38",22,B
6263,The weather finally became pleasant following the stormy week.,"199,339,18,125",18,C
6264,The weather finally became pleasant following the stormy week.,"40,74,20,265",20,C
6265,The weather finally became pleasant following the stormy week.,"196,314,21,286",21,C
6266,The weather finally became pleasant following the stormy week.,"23,136,160,256",23,A
6267,The weather finally became pleasant following the stormy week.,"24,281,207,5",24,A
6268,The weather finally became pleasant following the stormy week.,"25,49,16,283",25,A
6269,The weather finally became pleasant following the stormy week.,"16,26,204,213",26,B
6270,The weather finally became pleasant following the stormy week.,"335,56,27,172",27,C
6271,The weather finally became pleasant following the stormy week.,"80,169,310,28",28,D
6272,The weather finally became pleasant following the stormy week.,"266,267,323,29",29,D
6273,The weather finally became pleasant following the stormy week.,"295,266,214,30",30,D
6274,The weather finally became pleasant following the stormy week.,"305,31,300,3",31,B
6275,Having cried the entire night she greeted everyone in the morning like sunshine.,"22,313,273,319",22,A
6276,Having cried the entire night she greeted everyone in the morning like sunshine.,"54,300,266,18",18,D
6277,Having cried the entire night she greeted everyone in the morning like sunshine.,"131,4,244,19",19,D
6278,Having cried the entire night she greeted everyone in the morning like sunshine.,"271,95,7,21",21,D
6279,Having cried the entire night she greeted everyone in the morning like sunshine.,"23,69,309,97",23,A
6280,Having cried the entire night she greeted everyone in the morning like sunshine.,"183,179,24,83",24,C
6281,Having cried the entire night she greeted everyone in the morning like sunshine.,"249,262,25,149",25,C
6282,Having cried the entire night she greeted everyone in the morning like sunshine.,"292,26,218,301",26,B
6283,Having cried the entire night she greeted everyone in the morning like sunshine.,"286,321,43,27",27,D
6284,Having cried the entire night she greeted everyone in the morning like sunshine.,"28,59,171,11",28,A
6285,Having cried the entire night she greeted everyone in the morning like sunshine.,"316,87,29,310",29,C
6286,Having cried the entire night she greeted everyone in the morning like sunshine.,"12,153,30,72",30,C
6287,Having cried the entire night she greeted everyone in the morning like sunshine.,"31,81,212,114",31,A
6288,A soft breeze blew after the gust of wind shook down the shacks.,"22,259,10,60",22,A
6289,A soft breeze blew after the gust of wind shook down the shacks.,"18,205,54,298",18,A
6290,A soft breeze blew after the gust of wind shook down the shacks.,"337,56,12,19",19,D
6291,A soft breeze blew after the gust of wind shook down the shacks.,"164,336,35,20",20,D
6292,A soft breeze blew after the gust of wind shook down the shacks.,"69,252,92,23",23,D
6293,A soft breeze blew after the gust of wind shook down the shacks.,"169,24,142,318",24,B
6294,A soft breeze blew after the gust of wind shook down the shacks.,"287,25,184,174",25,B
6295,A soft breeze blew after the gust of wind shook down the shacks.,"75,26,2,137",26,B
6296,A soft breeze blew after the gust of wind shook down the shacks.,"108,32,27,56",27,C
6297,A soft breeze blew after the gust of wind shook down the shacks.,"28,209,204,57",28,A
6298,A soft breeze blew after the gust of wind shook down the shacks.,"129,277,29,296",29,C
6299,A soft breeze blew after the gust of wind shook down the shacks.,"109,30,5,83",30,B
6300,A soft breeze blew after the gust of wind shook down the shacks.,"31,312,250,127",31,A
6301,He danced off his sugar high then promptly fell asleep.,"121,22,32,170",22,B
6302,He danced off his sugar high then promptly fell asleep.,"321,144,91,18",18,D
6303,He danced off his sugar high then promptly fell asleep.,"19,215,5,280",19,A
6304,He danced off his sugar high then promptly fell asleep.,"244,20,269,208",20,B
6305,He danced off his sugar high then promptly fell asleep.,"21,169,271,191",21,A
6306,He danced off his sugar high then promptly fell asleep.,"38,24,104,96",24,B
6307,He danced off his sugar high then promptly fell asleep.,"123,282,25,158",25,C
6308,He danced off his sugar high then promptly fell asleep.,"192,286,26,212",26,C
6309,He danced off his sugar high then promptly fell asleep.,"90,27,95,78",27,B
6310,He danced off his sugar high then promptly fell asleep.,"39,5,333,28",28,D
6311,He danced off his sugar high then promptly fell asleep.,"29,56,69,248",29,A
6312,He danced off his sugar high then promptly fell asleep.,"134,261,30,73",30,C
6313,He danced off his sugar high then promptly fell asleep.,"149,31,166,193",31,B
6314,My pet dog is down for the count after playing the whole day with the frisbee.,"294,22,241,208",22,B
6315,My pet dog is down for the count after playing the whole day with the frisbee.,"18,294,10,68",18,A
6316,My pet dog is down for the count after playing the whole day with the frisbee.,"246,178,19,208",19,C
6317,My pet dog is down for the count after playing the whole day with the frisbee.,"20,295,85,57",20,A
6318,My pet dog is down for the count after playing the whole day with the frisbee.,"21,271,167,175",21,A
6319,My pet dog is down for the count after playing the whole day with the frisbee.,"282,81,60,23",23,D
6320,My pet dog is down for the count after playing the whole day with the frisbee.,"25,61,230,262",25,A
6321,My pet dog is down for the count after playing the whole day with the frisbee.,"310,26,269,233",26,B
6322,My pet dog is down for the count after playing the whole day with the frisbee.,"182,27,326,224",27,B
6323,My pet dog is down for the count after playing the whole day with the frisbee.,"61,57,189,28",28,D
6324,My pet dog is down for the count after playing the whole day with the frisbee.,"264,211,84,29",29,D
6325,My pet dog is down for the count after playing the whole day with the frisbee.,"185,284,206,30",30,D
6326,My pet dog is down for the count after playing the whole day with the frisbee.,"31,106,53,124",31,A
6327,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"22,283,285,211",22,A
6328,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"262,178,274,18",18,D
6329,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"180,105,19,330",19,C
6330,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"278,93,20,259",20,C
6331,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"279,278,130,21",21,D
6332,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"120,23,170,157",23,B
6333,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"12,167,35,24",24,D
6334,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"13,26,264,69",26,B
6335,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"229,298,279,27",27,D
6336,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"17,28,309,110",28,B
6337,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"29,324,159,180",29,A
6338,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"128,30,124,160",30,B
6339,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"194,248,38,31",31,D
6340,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","69,22,44,192",22,B
6341,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","169,91,18,138",18,C
6342,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","239,135,19,136",19,C
6343,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","332,20,107,143",20,B
6344,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","241,80,21,143",21,C
6345,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","99,317,23,55",23,C
6346,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","261,281,24,277",24,C
6347,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","25,118,212,196",25,A
6348,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","27,92,141,241",27,A
6349,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","182,34,28,184",28,C
6350,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","29,89,199,151",29,A
6351,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","52,1,30,171",30,C
6352,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","31,4,39,249",31,A
6353,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","307,22,180,279",22,B
6354,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","255,87,183,18",18,D
6355,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","153,19,207,212",19,B
6356,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","20,231,268,338",20,A
6357,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","96,140,62,21",21,D
6358,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","251,23,133,90",23,B
6359,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","24,287,171,2",24,A
6360,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","264,248,25,171",25,C
6361,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","111,26,273,139",26,B
6362,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","223,22,54,28",28,D
6363,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","9,134,29,13",29,C
6364,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","198,221,136,30",30,D
6365,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","31,143,220,107",31,A
6366,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","240,22,325,329",22,B
6367,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","240,47,249,18",18,D
6368,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","280,334,72,19",19,D
6369,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","20,7,335,329",20,A
6370,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","202,21,133,79",21,B
6371,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","190,261,224,23",23,D
6372,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","214,96,24,55",24,C
6373,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","209,199,25,281",25,C
6374,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","5,26,143,91",26,B
6375,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","295,184,27,116",27,C
6376,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","29,339,242,113",29,A
6377,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","232,30,140,210",30,B
6378,"Having immersed herself in a day-long painting marathon, my friend is now completely drained and refused to get up for several minutes.","22,31,201,287",31,B
6379,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"22,320,175,278",22,A
6380,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"167,18,150,273",18,B
6381,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"19,218,35,10",19,A
6382,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"289,255,20,167",20,C
6383,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"184,304,21,260",21,C
6384,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"88,131,23,311",23,C
6385,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"308,288,98,24",24,D
6386,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"25,9,129,320",25,A
6387,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"50,219,26,198",26,C
6388,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"195,27,289,282",27,B
6389,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"28,139,100,155",28,A
6390,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"102,30,73,0",30,B
6391,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.,"162,31,289,80",31,B
6392,After working two years for the company she was burned out.,"293,22,323,294",22,B
6393,After working two years for the company she was burned out.,"320,226,18,249",18,C
6394,After working two years for the company she was burned out.,"19,271,338,239",19,A
6395,After working two years for the company she was burned out.,"20,272,263,50",20,A
6396,After working two years for the company she was burned out.,"53,146,117,21",21,D
6397,After working two years for the company she was burned out.,"7,23,153,74",23,B
6398,After working two years for the company she was burned out.,"24,64,274,269",24,A
6399,After working two years for the company she was burned out.,"42,223,34,25",25,D
6400,After working two years for the company she was burned out.,"296,139,63,26",26,D
6401,After working two years for the company she was burned out.,"27,265,268,98",27,A
6402,After working two years for the company she was burned out.,"118,138,94,28",28,D
6403,After working two years for the company she was burned out.,"306,248,29,139",29,C
6404,After working two years for the company she was burned out.,"90,97,65,31",31,D
6405,He collapsed after he ran for the marathon.,"62,52,108,22",22,D
6406,He collapsed after he ran for the marathon.,"301,312,230,18",18,D
6407,He collapsed after he ran for the marathon.,"206,19,127,195",19,B
6408,He collapsed after he ran for the marathon.,"43,158,20,331",20,C
6409,He collapsed after he ran for the marathon.,"213,102,112,21",21,D
6410,He collapsed after he ran for the marathon.,"233,23,320,59",23,B
6411,He collapsed after he ran for the marathon.,"103,100,24,101",24,C
6412,He collapsed after he ran for the marathon.,"99,241,229,25",25,D
6413,He collapsed after he ran for the marathon.,"183,334,155,26",26,D
6414,He collapsed after he ran for the marathon.,"140,27,251,79",27,B
6415,He collapsed after he ran for the marathon.,"150,28,34,85",28,B
6416,He collapsed after he ran for the marathon.,"53,66,29,205",29,C
6417,He collapsed after he ran for the marathon.,"97,196,0,30",30,D
6418,He danced off his sugar high then promptly fell asleep.,"18,300,40,162",18,A
6419,He danced off his sugar high then promptly fell asleep.,"62,311,39,19",19,D
6420,He danced off his sugar high then promptly fell asleep.,"51,20,293,88",20,B
6421,He danced off his sugar high then promptly fell asleep.,"177,319,203,21",21,D
6422,He danced off his sugar high then promptly fell asleep.,"145,298,22,229",22,C
6423,He danced off his sugar high then promptly fell asleep.,"97,276,24,76",24,C
6424,He danced off his sugar high then promptly fell asleep.,"25,189,191,196",25,A
6425,He danced off his sugar high then promptly fell asleep.,"172,213,109,26",26,D
6426,He danced off his sugar high then promptly fell asleep.,"102,285,130,27",27,D
6427,He danced off his sugar high then promptly fell asleep.,"295,182,28,224",28,C
6428,He danced off his sugar high then promptly fell asleep.,"29,14,298,295",29,A
6429,He danced off his sugar high then promptly fell asleep.,"43,129,30,208",30,C
6430,He danced off his sugar high then promptly fell asleep.,"104,195,31,307",31,C
6431,After letting off his rage he sat down like a lamb.,"243,299,23,333",23,C
6432,After letting off his rage he sat down like a lamb.,"19,302,47,73",19,A
6433,After letting off his rage he sat down like a lamb.,"3,20,254,40",20,B
6434,After letting off his rage he sat down like a lamb.,"160,118,21,336",21,C
6435,After letting off his rage he sat down like a lamb.,"81,338,308,22",22,D
6436,After letting off his rage he sat down like a lamb.,"117,24,84,85",24,B
6437,After letting off his rage he sat down like a lamb.,"25,61,150,143",25,A
6438,After letting off his rage he sat down like a lamb.,"192,26,268,274",26,B
6439,After letting off his rage he sat down like a lamb.,"27,201,61,63",27,A
6440,After letting off his rage he sat down like a lamb.,"28,176,261,242",28,A
6441,After letting off his rage he sat down like a lamb.,"29,194,177,249",29,A
6442,After letting off his rage he sat down like a lamb.,"60,30,266,71",30,B
6443,After letting off his rage he sat down like a lamb.,"195,46,272,31",31,D
6444,The weather finally became pleasant following the stormy week.,"331,23,54,15",23,B
6445,The weather finally became pleasant following the stormy week.,"18,91,248,1",18,A
6446,The weather finally became pleasant following the stormy week.,"147,20,65,90",20,B
6447,The weather finally became pleasant following the stormy week.,"21,93,295,37",21,A
6448,The weather finally became pleasant following the stormy week.,"194,4,22,158",22,C
6449,The weather finally became pleasant following the stormy week.,"291,82,24,109",24,C
6450,The weather finally became pleasant following the stormy week.,"134,168,207,25",25,D
6451,The weather finally became pleasant following the stormy week.,"131,129,307,26",26,D
6452,The weather finally became pleasant following the stormy week.,"133,306,27,36",27,C
6453,The weather finally became pleasant following the stormy week.,"278,28,139,95",28,B
6454,The weather finally became pleasant following the stormy week.,"325,29,119,51",29,B
6455,The weather finally became pleasant following the stormy week.,"30,244,148,267",30,A
6456,The weather finally became pleasant following the stormy week.,"104,31,23,261",31,B
6457,Having cried the entire night she greeted everyone in the morning like sunshine.,"8,23,294,76",23,B
6458,Having cried the entire night she greeted everyone in the morning like sunshine.,"327,110,18,335",18,C
6459,Having cried the entire night she greeted everyone in the morning like sunshine.,"313,19,38,229",19,B
6460,Having cried the entire night she greeted everyone in the morning like sunshine.,"182,253,21,165",21,C
6461,Having cried the entire night she greeted everyone in the morning like sunshine.,"22,143,34,334",22,A
6462,Having cried the entire night she greeted everyone in the morning like sunshine.,"127,89,60,24",24,D
6463,Having cried the entire night she greeted everyone in the morning like sunshine.,"232,25,323,7",25,B
6464,Having cried the entire night she greeted everyone in the morning like sunshine.,"148,246,169,26",26,D
6465,Having cried the entire night she greeted everyone in the morning like sunshine.,"235,223,225,27",27,D
6466,Having cried the entire night she greeted everyone in the morning like sunshine.,"82,32,28,59",28,C
6467,Having cried the entire night she greeted everyone in the morning like sunshine.,"274,300,307,29",29,D
6468,Having cried the entire night she greeted everyone in the morning like sunshine.,"30,268,114,101",30,A
6469,Having cried the entire night she greeted everyone in the morning like sunshine.,"74,241,31,314",31,C
6470,A soft breeze blew after the gust of wind shook down the shacks.,"100,23,115,300",23,B
6471,A soft breeze blew after the gust of wind shook down the shacks.,"35,207,70,18",18,D
6472,A soft breeze blew after the gust of wind shook down the shacks.,"19,172,79,250",19,A
6473,A soft breeze blew after the gust of wind shook down the shacks.,"275,20,283,106",20,B
6474,A soft breeze blew after the gust of wind shook down the shacks.,"22,121,239,38",22,A
6475,A soft breeze blew after the gust of wind shook down the shacks.,"9,24,102,246",24,B
6476,A soft breeze blew after the gust of wind shook down the shacks.,"72,146,25,264",25,C
6477,A soft breeze blew after the gust of wind shook down the shacks.,"321,145,128,26",26,D
6478,A soft breeze blew after the gust of wind shook down the shacks.,"27,159,218,138",27,A
6479,A soft breeze blew after the gust of wind shook down the shacks.,"146,242,200,28",28,D
6480,A soft breeze blew after the gust of wind shook down the shacks.,"158,291,29,153",29,C
6481,A soft breeze blew after the gust of wind shook down the shacks.,"30,96,214,259",30,A
6482,A soft breeze blew after the gust of wind shook down the shacks.,"318,31,245,102",31,B
6483,"As the flame extinguished, it left behind a thin wisp of smoke.","324,23,244,195",23,B
6484,"As the flame extinguished, it left behind a thin wisp of smoke.","150,18,92,49",18,B
6485,"As the flame extinguished, it left behind a thin wisp of smoke.","19,301,101,118",19,A
6486,"As the flame extinguished, it left behind a thin wisp of smoke.","137,20,256,338",20,B
6487,"As the flame extinguished, it left behind a thin wisp of smoke.","160,253,117,21",21,D
6488,"As the flame extinguished, it left behind a thin wisp of smoke.","207,24,254,208",24,B
6489,"As the flame extinguished, it left behind a thin wisp of smoke.","25,130,185,71",25,A
6490,"As the flame extinguished, it left behind a thin wisp of smoke.","69,26,108,269",26,B
6491,"As the flame extinguished, it left behind a thin wisp of smoke.","136,7,27,151",27,C
6492,"As the flame extinguished, it left behind a thin wisp of smoke.","156,28,270,229",28,B
6493,"As the flame extinguished, it left behind a thin wisp of smoke.","320,54,53,29",29,D
6494,"As the flame extinguished, it left behind a thin wisp of smoke.","30,303,212,253",30,A
6495,"As the flame extinguished, it left behind a thin wisp of smoke.","55,179,95,31",31,D
6496,My pet dog is down for the count after playing the whole day with the frisbee.,"178,191,96,23",23,D
6497,My pet dog is down for the count after playing the whole day with the frisbee.,"18,140,185,197",18,A
6498,My pet dog is down for the count after playing the whole day with the frisbee.,"291,19,127,300",19,B
6499,My pet dog is down for the count after playing the whole day with the frisbee.,"20,184,1,157",20,A
6500,My pet dog is down for the count after playing the whole day with the frisbee.,"49,21,7,115",21,B
6501,My pet dog is down for the count after playing the whole day with the frisbee.,"22,160,70,84",22,A
6502,My pet dog is down for the count after playing the whole day with the frisbee.,"220,306,25,314",25,C
6503,My pet dog is down for the count after playing the whole day with the frisbee.,"26,83,274,304",26,A
6504,My pet dog is down for the count after playing the whole day with the frisbee.,"324,27,131,334",27,B
6505,My pet dog is down for the count after playing the whole day with the frisbee.,"28,152,62,212",28,A
6506,My pet dog is down for the count after playing the whole day with the frisbee.,"301,29,58,140",29,B
6507,My pet dog is down for the count after playing the whole day with the frisbee.,"107,146,77,30",30,D
6508,My pet dog is down for the count after playing the whole day with the frisbee.,"141,322,31,189",31,C
6509,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"23,144,56,338",23,A
6510,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"18,291,83,174",18,A
6511,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"91,288,19,66",19,C
6512,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"20,12,143,47",20,A
6513,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"214,21,9,72",21,B
6514,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"197,135,22,180",22,C
6515,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"137,24,46,107",24,B
6516,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"327,294,26,285",26,C
6517,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"135,39,27,262",27,C
6518,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"124,28,181,145",28,B
6519,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"29,44,318,159",29,A
6520,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"274,227,30,315",30,C
6521,Their company is so debt-ridden due to erratic management that I think it's safe to say they're about to go bankrupt.,"31,220,42,181",31,A
6522,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","137,86,23,316",23,C
6523,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","331,302,18,71",18,C
6524,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","259,105,19,194",19,C
6525,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","152,20,163,283",20,B
6526,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","267,182,60,21",21,D
6527,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","183,22,323,153",22,B
6528,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","24,93,327,169",24,A
6529,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","144,25,136,87",25,B
6530,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","27,229,133,253",27,A
6531,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","35,28,199,42",28,B
6532,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","278,29,297,36",29,B
6533,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","67,171,30,280",30,C
6534,"On his last birthday, Mike's friend gave him so many drinks that he passed out before midnight.","238,198,7,31",31,D
6535,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","329,56,116,23",23,D
6536,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","18,149,321,92",18,A
6537,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","255,19,74,278",19,B
6538,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","248,194,103,20",20,D
6539,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","331,155,21,44",21,C
6540,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","22,317,228,167",22,A
6541,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","221,24,264,164",24,B
6542,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","269,25,186,315",25,B
6543,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","159,234,87,26",26,D
6544,"After going through an extensive workload, Ally got very sick and will be doing nothing but rest during this weekend.","161,28,116,185",28,B
